id,speaker,disambiguation_time,pywsd_output,tokens_text,tokens_emotions,scene,primary_emotion,secondary_emotion,text_disambiguate,speech
1,CHANCELLOR,4.354,"[('Your', 'your', None), ('Imperial', 'imperial', None), ('Majesty', 'majesty', None), ('——', '——', None)]","['Your', 'Imperial', 'Majesty', '——']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,Your Imperial Majesty ——,Your Imperial Majesty ——
5,CHANCELLOR,0.393,"[('Not', 'not', None), ('of', 'of', None), ('the', 'the', None), ('value', 'value', None), ('of', 'of', None), ('a', 'a', None), ('bird', 'bird', None), (""'s"", ""'s"", None), ('feather', 'feather', None), ('until', 'until', None), ('it', 'it', None), ('has', 'have', None), ('your', 'your', None), ('royal', 'royal', None), ('signature', 'signature', None), ('.', '.', None), ('The', 'the', None), ('——', '——', None)]","['Not', 'of', 'the', 'value', 'of', 'a', 'bird', ""'s"", 'feather', 'until', 'it', 'has', 'your', 'royal', 'signature', '.', 'The', '——']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'serenity', 'secondary_emotion': 'acceptance'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'serenity', 'secondary_emotion': 'acceptance'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,Not of the value of a bird 's feather until it has your royal signature . The ——,Not of the value of a bird 's feather until it has your royal signature . The ——
10,CHANCELLOR,0.264,"[('For', 'for', None), ('that', 'that', None), ('I', 'i', None), ('strove', 'strive', Synset('endeavor.v.01')), (',', ',', None), ('but', 'but', None), ('their', 'their', None), ('mean', 'mean', None), ('minds', 'mind', None), ('suspected', 'suspect', Synset('suspect.v.03')), ('me', 'me', None), ('.', '.', None), ('Sire', 'sire', None), (',', ',', None), ('your', 'your', None), ('signature', 'signature', None), ('!', '!', None)]","['For', 'that', 'I', 'endeavor', ',', 'but', 'their', 'mean', 'minds', 'suspect', 'me', '.', 'Sire', ',', 'your', 'signature', '!']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': 'loathing'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': 'terror', 'secondary_emotion': 'loathing'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}]",1,ecstasy,,"For that I endeavor , but their mean minds suspect me . Sire , your signature !","For that I strove , but their mean minds suspected me . Sire , your signature !"
17,CHANCELLOR,1.3,"[('I', 'i', None), ('vouch', 'vouch', Synset('vouch.v.04')), ('for', 'for', None), ('it', 'it', None), ('.', '.', None), ('So', 'so', None), ('well', 'well', None), ('we', 'we', None), (""'ve"", ""'ve"", None), ('chosen', 'choose', Synset('choose.v.02')), ('our', 'our', None), ('time', 'time', None), (',', ',', None), ('it', 'it', None), ('finds', 'find', Synset('find.v.01')), ('her', 'her', None), ('at', 'at', None), ('issue', 'issue', None), ('with', 'with', None), ('herself', 'herself', None), (',', ',', None), ('her', 'her', None), ('wild', 'wild', None), ('women', 'woman', None), ('let', 'let', Synset('let.v.01')), ('loose', 'loose', None), (',', ',', None), ('her', 'her', None), ('colonies', 'colony', None), ('ready', 'ready', None), ('to', 'to', None), ('turn', 'turn', Synset('turn.v.19')), ('against', 'against', None), ('her', 'her', None), (',', ',', None), ('Ireland', 'ireland', None), ('aflame', 'aflame', None), (',', ',', None), ('the', 'the', None), ('paltry', 'paltry', None), ('British', 'british', None), ('Army', 'army', None), ('sulking', 'sulking', None), ('with', 'with', None), ('the', 'the', None), ('civic', 'civic', None), ('powers', 'power', None), ('.', '.', None)]","['I', 'vouch', 'for', 'it', '.', 'So', 'well', 'we', ""'ve"", 'choose', 'our', 'time', ',', 'it', 'find', 'her', 'at', 'issue', 'with', 'herself', ',', 'her', 'wild', 'women', 'let', 'loose', ',', 'her', 'colonies', 'ready', 'to', 'turn', 'against', 'her', ',', 'Ireland', 'aflame', ',', 'the', 'paltry', 'British', 'Army', 'sulking', 'with', 'the', 'civic', 'powers', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'serenity', 'secondary_emotion': 'acceptance'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'calmness', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'enthusiasm'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'bliss'}, {'primary_emotion': 'grief', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'annoyance', 'secondary_emotion': 'flip'}, {'primary_emotion': 'dislike', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'joy', 'secondary_emotion': 'calmness'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': 'loathing'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,ecstasy,,"I vouch for it . So well we 've choose our time , it find her at issue with herself , her wild women let loose , her colonies ready to turn against her , Ireland aflame , the paltry British Army sulking with the civic powers .","I vouch for it . So well we 've chosen our time , it finds her at issue with herself , her wild women let loose , her colonies ready to turn against her , Ireland aflame , the paltry British Army sulking with the civic powers ."
22,CHANCELLOR,3.14,"[('How', 'how', None), ('well', 'well', None), ('you', 'you', None), ('know', 'know', Synset('know.v.07')), ('her', 'her', None), (',', ',', None), ('Sire', 'sire', None), ('!', '!', None), ('All', 'all', None), ('she', 'she', None), ('needs', 'need', Synset('necessitate.v.01')), ('is', 'be', None), ('some', 'some', None), ('small', 'small', None), ('excuse', 'excuse', None), ('for', 'for', None), ('saying', 'say', Synset('say.v.09')), (',', ',', None), ('“', '“', None), ('I', 'i', None), ('acted', 'act', Synset('act.v.02')), ('in', 'in', None), ('the', 'the', None), ('best', 'best', None), ('interests', 'interest', None), ('of', 'of', None), ('my', 'my', None), ('money-bags', 'money-bags', None), ('.', '.', None), ('”', '”', None), ('That', 'that', None), ('excuse', 'excuse', None), ('I', 'i', None), (""'ve"", ""'ve"", None), ('found', 'find', Synset('find.v.01')), ('for', 'for', None), ('her', 'her', None), ('.', '.', None), ('I', 'i', None), ('have', 'have', None), ('promised', 'promise', Synset('promise.v.04')), ('in', 'in', None), ('your', 'your', None), ('name', 'name', None), ('a', 'a', None), ('secret', 'secret', None), ('compact', 'compact', None), ('with', 'with', None), ('her', 'her', None), (',', ',', None), ('that', 'that', None), ('if', 'if', None), ('she', 'she', None), ('stands', 'stand', Synset('stand.v.03')), ('aloof', 'aloof', None), ('the', 'the', None), ('parts', 'part', None), ('of', 'of', None), ('France', 'france', None), ('we', 'we', None), ('do', 'do', None), ('not', 'not', None), ('at', 'at', None), ('present', 'present', None), ('need', 'need', None), ('we', 'we', None), ('will', 'will', None), ('not', 'not', None), ('at', 'at', None), ('present', 'present', None), ('take', 'take', None), ('.', '.', None)]","['How', 'well', 'you', 'know', 'her', ',', 'Sire', '!', 'All', 'she', 'necessitate', 'is', 'some', 'small', 'excuse', 'for', 'say', ',', '“', 'I', 'act', 'in', 'the', 'best', 'interests', 'of', 'my', 'money-bags', '.', '”', 'That', 'excuse', 'I', ""'ve"", 'find', 'for', 'her', '.', 'I', 'have', 'promise', 'in', 'your', 'name', 'a', 'secret', 'compact', 'with', 'her', ',', 'that', 'if', 'she', 'stand', 'aloof', 'the', 'parts', 'of', 'France', 'we', 'do', 'not', 'at', 'present', 'need', 'we', 'will', 'not', 'at', 'present', 'take', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'dislike', 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'responsiveness', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'enthusiasm'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': 'delight'}, {'primary_emotion': 'pleasantness', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': 'terror'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,enthusiasm,delight,"How well you know her , Sire ! All she necessitate is some small excuse for say , “ I act in the best interests of my money-bags . ” That excuse I 've find for her . I have promise in your name a secret compact with her , that if she stand aloof the parts of France we do not at present need we will not at present take .","How well you know her , Sire ! All she needs is some small excuse for saying , “ I acted in the best interests of my money-bags . ” That excuse I 've found for her . I have promised in your name a secret compact with her , that if she stands aloof the parts of France we do not at present need we will not at present take ."
24,CHANCELLOR,1.499,"[('The', 'the', None), ('British', 'british', None), ('Government', 'government', None), ('will', 'will', None), ('not', 'not', None), ('think', 'think', Synset('remember.v.01')), ('so', 'so', None), ('.', '.', None), ('Trust', 'trust', None), ('me', 'me', None), ('to', 'to', None), ('know', 'know', Synset('know.v.07')), ('them', 'them', None), (',', ',', None), ('Sire', 'sire', None), ('.', '.', None), ('Your', 'your', None), ('signature', 'signature', None), ('?', '?', None), ('EMPEROR', 'emperor', None), ('I', 'i', None), ('can', 'can', None), ('fling', 'fling', Synset('fling.v.02')), ('a', 'a', None), ('million', 'million', None), ('men', 'men', None), ('within', 'within', None), ('the', 'the', None), ('week', 'week', None), ('across', 'across', None), ('the', 'the', None), ('border', 'border', None), ('by', 'by', None), ('way', 'way', None), ('of', 'of', None), ('Alsace', 'alsace', None), ('and', 'and', None), ('Lorraine', 'lorraine', None), ('.', '.', None), ('OFFICER', 'officer', None), ('There', 'there', None), ('are', 'be', None), ('a', 'a', None), ('hundred', 'hundred', None), ('gates', 'gate', None), ('to', 'to', None), ('open', 'open', Synset('open.v.08')), ('that', 'that', None), ('way', 'way', None), ('.', '.', None)]","['The', 'British', 'Government', 'will', 'not', 'remember', 'so', '.', 'Trust', 'me', 'to', 'know', 'them', ',', 'Sire', '.', 'Your', 'signature', '?', 'EMPEROR', 'I', 'can', 'fling', 'a', 'million', 'men', 'within', 'the', 'week', 'across', 'the', 'border', 'by', 'way', 'of', 'Alsace', 'and', 'Lorraine', '.', 'OFFICER', 'There', 'are', 'a', 'hundred', 'gates', 'to', 'open', 'that', 'way', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'bliss', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,ecstasy,delight,"The British Government will not remember so . Trust me to know them , Sire . Your signature ? EMPEROR I can fling a million men within the week across the border by way of Alsace and Lorraine . OFFICER There are a hundred gates to open that way .","The British Government will not think so . Trust me to know them , Sire . Your signature ? EMPEROR I can fling a million men within the week across the border by way of Alsace and Lorraine . OFFICER There are a hundred gates to open that way ."
33,CHANCELLOR,0.039,"[('I', 'i', None), ('am', 'be', None), ('with', 'with', None), ('you', 'you', None), (',', ',', None), ('Sire', 'sire', None), (',', ',', None), ('but', 'but', None), ('I', 'i', None), ('fear', 'fear', Synset('fear.v.04')), ('it', 'it', None), ('will', 'will', None), ('not', 'not', None), ('be', 'be', None), ('so', 'so', None), ('with', 'with', None)]","['I', 'am', 'with', 'you', ',', 'Sire', ',', 'but', 'I', 'fear', 'it', 'will', 'not', 'be', 'so', 'with']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'fear', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,fear,,"I am with you , Sire , but I fear it will not be so with","I am with you , Sire , but I fear it will not be so with"
34,CHANCELLOR,0.544,"[('France', 'france', None), ('.', '.', None), ('She', 'she', None), ('has', 'have', None), ('grown', 'grow', Synset('turn.v.07')), ('cynical', 'cynical', None), ('.', '.', None), ('She', 'she', None), ('will', 'will', None), ('find', 'find', Synset('find.v.01')), ('the', 'the', None), ('road', 'road', None), ('through', 'through', None), ('Belgium', 'belgium', None), ('.', '.', None)]","['France', '.', 'She', 'has', 'turn', 'cynical', '.', 'She', 'will', 'find', 'the', 'road', 'through', 'Belgium', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'annoyance', 'secondary_emotion': 'flip'}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'enthusiasm'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,France . She has turn cynical . She will find the road through Belgium .,France . She has grown cynical . She will find the road through Belgium .
36,CHANCELLOR,1.113,"[('Your', 'your', None), ('Imperial', 'imperial', None), ('Majesty', 'majesty', None), ('judges', 'judge', None), ('others', 'other', None), ('by', 'by', None), ('yourself', 'yourself', None), ('.', '.', None), ('I', 'i', None), ('have', 'have', None), ('private', 'private', None), ('ground', 'ground', None), ('for', 'for', None), ('fearing', 'fear', Synset('fear.v.04')), ('that', 'that', None), ('in', 'in', None), ('the', 'the', None), ('greed', 'greed', None), ('for', 'for', None), ('a', 'a', None), ('first', 'first', None), ('advantage', 'advantage', None), ('France', 'france', None), ('will', 'will', None), ('call', 'call', Synset('call.v.16')), ('the', 'the', None), ('treaty', 'treaty', None), ('but', 'but', None), ('a', 'a', None), ('scrap', 'scrap', None), ('of', 'of', None), ('paper', 'paper', None), ('.', '.', None)]","['Your', 'Imperial', 'Majesty', 'judges', 'others', 'by', 'yourself', '.', 'I', 'have', 'private', 'ground', 'for', 'fear', 'that', 'in', 'the', 'greed', 'for', 'a', 'first', 'advantage', 'France', 'will', 'call', 'the', 'treaty', 'but', 'a', 'scrap', 'of', 'paper', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'terror', 'secondary_emotion': 'loathing'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'fear', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'disgust', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'enthusiasm'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'terror', 'secondary_emotion': 'loathing'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,terror,loathing,Your Imperial Majesty judges others by yourself . I have private ground for fear that in the greed for a first advantage France will call the treaty but a scrap of paper .,Your Imperial Majesty judges others by yourself . I have private ground for fearing that in the greed for a first advantage France will call the treaty but a scrap of paper .
38,CHANCELLOR,0.596,"[('She', 'she', None), ('will', 'will', None), ('say', 'say', Synset('say.v.09')), ('that', 'that', None), ('necessity', 'necessity', None), ('knows', 'know', Synset('know.v.07')), ('no', 'no', None), ('law', 'law', None), (',', ',', None), ('or', 'or', None), ('some', 'some', None), ('such', 'such', None), ('dastard', 'dastard', None), ('words', 'word', None), ('.', '.', None)]","['She', 'will', 'say', 'that', 'necessity', 'know', 'no', 'law', ',', 'or', 'some', 'such', 'dastard', 'words', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'calmness', 'secondary_emotion': 'pleasantness'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': 'terror'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,"She will say that necessity know no law , or some such dastard words .","She will say that necessity knows no law , or some such dastard words ."
