id,speaker,speech,text_disambiguate,disambiguation_timepywsd_output,tokens_text,tokens_emotions,scene,primary_emotion,secondary_emotion,disambiguation_time,pywsd_output
1,KARL,", comes in with hat and overcoat which he takes off Heinrich ! Heinrich !",", come in with hat and overcoat which he take off heinrich ! heinrich !",,"[',', 'come', 'in', 'with', 'hat', 'and', 'overcoat', 'which', 'he', 'take', 'off', 'heinrich', '!', 'heinrich', '!']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'enthusiasm'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'serenity', 'secondary_emotion': 'acceptance'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'serenity', 'secondary_emotion': 'acceptance'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,serenity,acceptance,5.464,"[(',', ',', None), ('comes', 'come', Synset('issue_forth.v.01')), ('in', 'in', None), ('with', 'with', None), ('hat', 'hat', None), ('and', 'and', None), ('overcoat', 'overcoat', None), ('which', 'which', None), ('he', 'he', None), ('takes', 'take', Synset('take.v.39')), ('off', 'off', None), ('Heinrich', 'heinrich', None), ('!', '!', None), ('Heinrich', 'heinrich', None), ('!', '!', None)]"
2,KARL,Where were you ?,where be you ?,,"['where', 'be', 'you', '?']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,0.004,"[('Where', 'where', None), ('were', 'be', None), ('you', 'you', None), ('?', '?', None)]"
4,KARL,"The door is wide open ; anybody could have walked in . Where 's today 's paper ? Well , hurry up .","the door be wide open ; anybody could have walk in . where 's today 's paper ? well , hurry up .",,"['the', 'door', 'be', 'wide', 'open', ';', 'anybody', 'could', 'have', 'walk', 'in', '.', 'where', ""'s"", 'today', ""'s"", 'paper', '?', 'well', ',', 'hurry', 'up', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'contentment', 'secondary_emotion': 'acceptance'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'contentment', 'secondary_emotion': 'acceptance'}, {'primary_emotion': 'bliss', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': 'rage'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,contentment,acceptance,0.625,"[('The', 'the', None), ('door', 'door', None), ('is', 'be', None), ('wide', 'wide', None), ('open', 'open', None), (';', ';', None), ('anybody', 'anybody', None), ('could', 'could', None), ('have', 'have', None), ('walked', 'walk', Synset('walk.v.10')), ('in', 'in', None), ('.', '.', None), ('Where', 'where', None), (""'s"", ""'s"", None), ('today', 'today', None), (""'s"", ""'s"", None), ('paper', 'paper', None), ('?', '?', None), ('Well', 'well', None), (',', ',', None), ('hurry', 'hurry', Synset('travel_rapidly.v.01')), ('up', 'up', None), ('.', '.', None)]"
5,KARL,", lights a cigarette Did you take my dress suit to be pressed ?",", light a cigarette did you take my dress suit to be press ?",,"[',', 'light', 'a', 'cigarette', 'did', 'you', 'take', 'my', 'dress', 'suit', 'to', 'be', 'press', '?']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'contentment', 'secondary_emotion': 'serenity'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': 'loathing'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': 'acceptance', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,1.435,"[(',', ',', None), ('lights', 'light', Synset('ignite.v.01')), ('a', 'a', None), ('cigarette', 'cigarette', None), ('Did', 'did', None), ('you', 'you', None), ('take', 'take', Synset('take.v.39')), ('my', 'my', None), ('dress', 'dress', None), ('suit', 'suit', None), ('to', 'to', None), ('be', 'be', None), ('pressed', 'press', Synset('weight-lift.v.01')), ('?', '?', None)]"
7,KARL,"Good ! Here 's a crown . Get me a white tie , same as the last one . Hold on ! Put out a dress shirt on the bed , then look for my pearl buttons — they are probably in the top drawer — in a match-box . Stop ! Give me that crown . Take this . Get me a pair of white gloves , seven and a half . Oh ! and Heinrich , before you go , put the Venetian chair next to the window . At three o'clock Mrs. Zanden will be here to have her portrait painted , and I shall be at home to nobody . Give me an ash tray . All right ; go along .","good ! here 's a crown . get me a white tie , same a the last one . hold on ! put out a dress shirt on the bed , then look for my pearl button — they be probably in the top drawer — in a match-box . stop ! give me that crown . take this . get me a pair of white glove , seven and a half . oh ! and heinrich , before you go , put the venetian chair next to the window . at three o'clock mrs. zanden will be here to have her portrait paint , and i shall be at home to nobody . give me an ash tray . all right ; go along .",,"['good', '!', 'here', ""'s"", 'a', 'crown', '.', 'get', 'me', 'a', 'white', 'tie', ',', 'same', 'a', 'the', 'last', 'one', '.', 'hold', 'on', '!', 'put', 'out', 'a', 'dress', 'shirt', 'on', 'the', 'bed', ',', 'then', 'look', 'for', 'my', 'pearl', 'button', '—', 'they', 'be', 'probably', 'in', 'the', 'top', 'drawer', '—', 'in', 'a', 'match-box', '.', 'stop', '!', 'give', 'me', 'that', 'crown', '.', 'take', 'this', '.', 'get', 'me', 'a', 'pair', 'of', 'white', 'glove', ',', 'seven', 'and', 'a', 'half', '.', 'oh', '!', 'and', 'heinrich', ',', 'before', 'you', 'go', ',', 'put', 'the', 'venetian', 'chair', 'next', 'to', 'the', 'window', '.', 'at', 'three', ""o'clock"", 'mrs.', 'zanden', 'will', 'be', 'here', 'to', 'have', 'her', 'portrait', 'paint', ',', 'and', 'i', 'shall', 'be', 'at', 'home', 'to', 'nobody', '.', 'give', 'me', 'an', 'ash', 'tray', '.', 'all', 'right', ';', 'go', 'along', '.']","[{'primary_emotion': 'pleasantness', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'sadness', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': 'rage'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'acceptance', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'sadness', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'serenity', 'secondary_emotion': 'acceptance'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': 'terror'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'joy', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'calmness', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'dislike', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'acceptance', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,delight,29.086,"[('Good', 'good', None), ('!', '!', None), ('Here', 'here', None), (""'s"", ""'s"", None), ('a', 'a', None), ('crown', 'crown', None), ('.', '.', None), ('Get', 'get', Synset('induce.v.02')), ('me', 'me', None), ('a', 'a', None), ('white', 'white', None), ('tie', 'tie', None), (',', ',', None), ('same', 'same', None), ('as', 'a', None), ('the', 'the', None), ('last', 'last', None), ('one', 'one', None), ('.', '.', None), ('Hold', 'hold', Synset('have.v.01')), ('on', 'on', None), ('!', '!', None), ('Put', 'put', Synset('put.v.01')), ('out', 'out', None), ('a', 'a', None), ('dress', 'dress', None), ('shirt', 'shirt', None), ('on', 'on', None), ('the', 'the', None), ('bed', 'bed', None), (',', ',', None), ('then', 'then', None), ('look', 'look', None), ('for', 'for', None), ('my', 'my', None), ('pearl', 'pearl', None), ('buttons', 'button', None), ('—', '—', None), ('they', 'they', None), ('are', 'be', None), ('probably', 'probably', None), ('in', 'in', None), ('the', 'the', None), ('top', 'top', None), ('drawer', 'drawer', None), ('—', '—', None), ('in', 'in', None), ('a', 'a', None), ('match-box', 'match-box', None), ('.', '.', None), ('Stop', 'stop', Synset('end.v.01')), ('!', '!', None), ('Give', 'give', Synset('give.v.08')), ('me', 'me', None), ('that', 'that', None), ('crown', 'crown', None), ('.', '.', None), ('Take', 'take', Synset('consume.v.02')), ('this', 'this', None), ('.', '.', None), ('Get', 'get', Synset('induce.v.02')), ('me', 'me', None), ('a', 'a', None), ('pair', 'pair', None), ('of', 'of', None), ('white', 'white', None), ('gloves', 'glove', None), (',', ',', None), ('seven', 'seven', None), ('and', 'and', None), ('a', 'a', None), ('half', 'half', None), ('.', '.', None), ('Oh', 'oh', None), ('!', '!', None), ('and', 'and', None), ('Heinrich', 'heinrich', None), (',', ',', None), ('before', 'before', None), ('you', 'you', None), ('go', 'go', Synset('survive.v.01')), (',', ',', None), ('put', 'put', Synset('put.v.01')), ('the', 'the', None), ('Venetian', 'venetian', None), ('chair', 'chair', None), ('next', 'next', None), ('to', 'to', None), ('the', 'the', None), ('window', 'window', None), ('.', '.', None), ('At', 'at', None), ('three', 'three', None), (""o'clock"", ""o'clock"", None), ('Mrs.', 'mrs.', None), ('Zanden', 'zanden', None), ('will', 'will', None), ('be', 'be', None), ('here', 'here', None), ('to', 'to', None), ('have', 'have', None), ('her', 'her', None), ('portrait', 'portrait', None), ('painted', 'paint', Synset('paint.v.04')), (',', ',', None), ('and', 'and', None), ('I', 'i', None), ('shall', 'shall', None), ('be', 'be', None), ('at', 'at', None), ('home', 'home', None), ('to', 'to', None), ('nobody', 'nobody', None), ('.', '.', None), ('Give', 'give', Synset('give.v.08')), ('me', 'me', None), ('an', 'an', None), ('ash', 'ash', None), ('tray', 'tray', None), ('.', '.', None), ('All', 'all', None), ('right', 'right', None), (';', ';', None), ('go', 'go', Synset('survive.v.01')), ('along', 'along', None), ('.', '.', None)]"
9,KARL,", seated on couch L . What is it ?",", seat on couch l . what be it ?",,"[',', 'seat', 'on', 'couch', 'l', '.', 'what', 'be', 'it', '?']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,0.205,"[(',', ',', None), ('seated', 'seat', Synset('seat.v.02')), ('on', 'on', None), ('couch', 'couch', None), ('L', 'l', None), ('.', '.', None), ('What', 'what', None), ('is', 'be', None), ('it', 'it', None), ('?', '?', None)]"
11,KARL,Where ?,where ?,,"['where', '?']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,0.001,"[('Where', 'where', None), ('?', '?', None)]"
13,KARL,", indifferent , reading newspaper Send her away .",", indifferent , read newspaper send her away .",,"[',', 'indifferent', ',', 'read', 'newspaper', 'send', 'her', 'away', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,delight,0.538,"[(',', ',', None), ('indifferent', 'indifferent', None), (',', ',', None), ('reading', 'read', Synset('learn.v.04')), ('newspaper', 'newspaper', None), ('Send', 'send', None), ('her', 'her', None), ('away', 'away', None), ('.', '.', None)]"
16,KARL,No .,no .,,"['no', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,0.003,"[('No', 'no', None), ('.', '.', None)]"
18,KARL,No .,no .,,"['no', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,0.001,"[('No', 'no', None), ('.', '.', None)]"
